Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date,Min Gap,Clash Action,Spread
,,,,,,,,,,,
USD-DSCSOFUT,USD-DEP-ON,OG-Ticker,USD-DEP-ON,MarketValue,DEP,USD-ShortDeposit-T0,1D,,,,
USD-DSCSOFUT,USD-SOFR-QFUT-1,OG-Ticker,USD-SOFR-QFUT-1,MarketValue,ONF,USD-SOFR-3M-IMM-ICE,7D+1,,,,
USD-DSCSOFUT,USD-SOFR-QFUT-2,OG-Ticker,USD-SOFR-QFUT-2,MarketValue,ONF,USD-SOFR-3M-IMM-ICE,7D+2,,,,
USD-DSCSOFUT,USD-SOFR-QFUT-3,OG-Ticker,USD-SOFR-QFUT-3,MarketValue,ONF,USD-SOFR-3M-IMM-ICE,7D+3,,,,
USD-DSCSOFUT,USD-SOFR-QFUT-4,OG-Ticker,USD-SOFR-QFUT-4,MarketValue,ONF,USD-SOFR-3M-IMM-ICE,7D+4,,,,
USD-DSCSOFUT,USD-SOFR-QFUT-5,OG-Ticker,USD-SOFR-QFUT-5,MarketValue,ONF,USD-SOFR-3M-IMM-ICE,7D+5,,,,
USD-DSCSOFUT,USD-SOFR-QFUT-6,OG-Ticker,USD-SOFR-QFUT-6,MarketValue,ONF,USD-SOFR-3M-IMM-ICE,7D+6,,,,
USD-DSCSOFUT,USD-SOFR-QFUT-7,OG-Ticker,USD-SOFR-QFUT-7,MarketValue,ONF,USD-SOFR-3M-IMM-ICE,7D+7,,,,
USD-DSCSOFUT,USD-SOFR-QFUT-8,OG-Ticker,USD-SOFR-QFUT-8,MarketValue,ONF,USD-SOFR-3M-IMM-ICE,7D+8,,,,
