Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date,Min Gap,Clash Action,Spread
,,,,,,,,,,,
USD-Disc,ON,OG-Ticker,USD-DEP-ON,MarketValue,DEP,USD-ShortDeposit-T0,1D,,,,
USD-Disc,TN,OG-Ticker,USD-DEP-TN,MarketValue,DEP,USD-ShortDeposit-T1,1D,,,,
USD-Disc,1W,OG-Ticker,USD-DEP-1W,MarketValue,DEP,USD-ShortDeposit-T2,1W,,,,
USD-Disc,1M,OG-Ticker,USD-OIS-1M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M,,,,
USD-Disc,2M,OG-Ticker,USD-OIS-2M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,2M,,,,
USD-Disc,3M,OG-Ticker,USD-OIS-3M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M,,,,
USD-Disc,6M,OG-Ticker,USD-OIS-6M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M,,,,
USD-Disc,9M,OG-Ticker,USD-OIS-9M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M,,,,
USD-Disc,1Y,OG-Ticker,USD-OIS-1Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,1Y,,,,
USD-Disc,2Y,OG-Ticker,USD-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,,,,
USD-Disc,3Y,OG-Ticker,USD-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,3Y,,,,
USD-Disc,4Y,OG-Ticker,USD-OIS-4Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,4Y,,,,
USD-Disc,5Y,OG-Ticker,USD-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,5Y,,,,
USD-Disc,6Y,OG-Ticker,USD-OIS-6Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,6Y,,,,
USD-Disc,7Y,OG-Ticker,USD-OIS-7Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,7Y,,,,
USD-Disc,8Y,OG-Ticker,USD-OIS-8Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,8Y,,,,
USD-Disc,9Y,OG-Ticker,USD-OIS-9Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,9Y,,,,
USD-Disc,10Y,OG-Ticker,USD-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,10Y,,,,
,,,,,,,,,,,
USD-CPI,INFL-1Y,OG-Ticker,USD-CPI-1Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,1Y,LastFixing,,,
USD-CPI,INFL-2Y,OG-Ticker,USD-CPI-2Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,2Y,LastFixing,,,
USD-CPI,INFL-3Y,OG-Ticker,USD-CPI-3Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,3Y,LastFixing,,,
USD-CPI,INFL-4Y,OG-Ticker,USD-CPI-4Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,4Y,LastFixing,,,
USD-CPI,INFL-5Y,OG-Ticker,USD-CPI-5Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,5Y,LastFixing,,,
USD-CPI,INFL-6Y,OG-Ticker,USD-CPI-6Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,6Y,LastFixing,,,
USD-CPI,INFL-7Y,OG-Ticker,USD-CPI-7Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,7Y,LastFixing,,,
USD-CPI,INFL-8Y,OG-Ticker,USD-CPI-8Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,8Y,LastFixing,,,
USD-CPI,INFL-9Y,OG-Ticker,USD-CPI-9Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,9Y,LastFixing,,,
USD-CPI,INFL-10Y,OG-Ticker,USD-CPI-10Y,MarketValue,INF,USD-FIXED-ZC-US-CPI,10Y,LastFixing,,,
