Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time
,,,,,,,
USD-DSCSOFR-OIS,1M,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-1M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,1M
USD-DSCSOFR-OIS,2M,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-2M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,2M
USD-DSCSOFR-OIS,3M,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-3M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,3M
USD-DSCSOFR-OIS,6M,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-6M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,6M
USD-DSCSOFR-OIS,9M,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-9M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,9M
USD-DSCSOFR-OIS,1Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-1Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,1Y
USD-DSCSOFR-OIS,2Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,2Y
USD-DSCSOFR-OIS,3Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,3Y
USD-DSCSOFR-OIS,4Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-4Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,4Y
USD-DSCSOFR-OIS,5Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,5Y
USD-DSCSOFR-OIS,6Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-6Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,6Y
USD-DSCSOFR-OIS,7Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-7Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,7Y
USD-DSCSOFR-OIS,8Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-8Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,8Y
USD-DSCSOFR-OIS,9Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-9Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,9Y
USD-DSCSOFR-OIS,10Y,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,10Y
,,,,,,,
EUR-DSC-FXXCCY,1M,OG-Ticker,EUR/USD-1M,MarketValue,FXS,EUR/USD,1M
EUR-DSC-FXXCCY,2M,OG-Ticker,EUR/USD-2M,MarketValue,FXS,EUR/USD,2M
EUR-DSC-FXXCCY,3M,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-3M,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,3M
EUR-DSC-FXXCCY,6M,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-6M,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,6M
EUR-DSC-FXXCCY,9M,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-9M,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,9M
EUR-DSC-FXXCCY,1Y,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-1Y,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,1Y
EUR-DSC-FXXCCY,2Y,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-2Y,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,2Y
EUR-DSC-FXXCCY,3Y,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-3Y,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,3Y
EUR-DSC-FXXCCY,4Y,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-4Y,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,4Y
EUR-DSC-FXXCCY,5Y,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-5Y,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,5Y
EUR-DSC-FXXCCY,7Y,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-7Y,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,7Y
EUR-DSC-FXXCCY,10Y,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-10Y,MarketValue,XCO,EUR-ESTR-3M-USD-SOFR-3M,10Y
,,,,,,,
EUR-ESTR-OIS,1M,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-1M,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,1M
EUR-ESTR-OIS,1M,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-2M,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,2M
EUR-ESTR-OIS,3M,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-3M,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,3M
EUR-ESTR-OIS,6M,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-6M,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,6M
EUR-ESTR-OIS,9M,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-9M,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,9M
EUR-ESTR-OIS,1Y,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-1Y,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,1Y
EUR-ESTR-OIS,2Y,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-2Y,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,2Y
EUR-ESTR-OIS,3Y,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-3Y,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,3Y
EUR-ESTR-OIS,4Y,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-4Y,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,4Y
EUR-ESTR-OIS,5Y,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-5Y,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,5Y
EUR-ESTR-OIS,7Y,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-7Y,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,7Y
EUR-ESTR-OIS,10Y,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-10Y,MarketValue,OIS,EUR-FIXED-1Y-ESTR-OIS,10Y
