Valuation Date,Symbology,Ticker,Field Name,Value
,,,,
2016-08-01,OG-Ticker,GBP-ON,MarketValue,0.0042
2016-08-01,OG-Ticker,GBP-TN,MarketValue,0.005
2016-08-01,OG-Ticker,GBP-OIS-1M,MarketValue,0.0023
2016-08-01,OG-Ticker,GBP-OIS-2M,MarketValue,0.0021
2016-08-01,OG-Ticker,GBP-OIS-3M,MarketValue,0.002
2016-08-01,OG-Ticker,GBP-OIS-6M,MarketValue,0.0016
2016-08-01,OG-Ticker,GBP-OIS-9M,MarketValue,0.0015
2016-08-01,OG-Ticker,GBP-OIS-1Y,MarketValue,0.0014
2016-08-01,OG-Ticker,GBP-OIS-2Y,MarketValue,0.0012
2016-08-01,OG-Ticker,GBP-OIS-3Y,MarketValue,0.0013
2016-08-01,OG-Ticker,GBP-OIS-4Y,MarketValue,0.0017
2016-08-01,OG-Ticker,GBP-OIS-5Y,MarketValue,0.0021
2016-08-01,OG-Ticker,GBP-OIS-7Y,MarketValue,0.0032
2016-08-01,OG-Ticker,GBP-OIS-10Y,MarketValue,0.0053
2016-08-01,OG-Ticker,GBP-OIS-15Y,MarketValue,0.0077
2016-08-01,OG-Ticker,GBP-OIS-20Y,MarketValue,0.0087
2016-08-01,OG-Ticker,GBP-OIS-30Y,MarketValue,0.0089
,,,,
2016-08-01,OG-Ticker,GBP-FIX-L6M,MarketValue,0.0057969
2016-08-01,OG-Ticker,GBP-FRA-3Mx9M,MarketValue,0.0045
2016-08-01,OG-Ticker,GBP-IRS6M-1Y,MarketValue,0.0051
2016-08-01,OG-Ticker,GBP-IRS6M-2Y,MarketValue,0.0048
2016-08-01,OG-Ticker,GBP-IRS6M-3Y,MarketValue,0.0049
2016-08-01,OG-Ticker,GBP-IRS6M-4Y,MarketValue,0.0052
2016-08-01,OG-Ticker,GBP-IRS6M-5Y,MarketValue,0.0056
2016-08-01,OG-Ticker,GBP-IRS6M-7Y,MarketValue,0.0066
2016-08-01,OG-Ticker,GBP-IRS6M-10Y,MarketValue,0.0084
2016-08-01,OG-Ticker,GBP-IRS6M-15Y,MarketValue,0.0102
2016-08-01,OG-Ticker,GBP-IRS6M-20Y,MarketValue,0.0108
2016-08-01,OG-Ticker,GBP-IRS6M-30Y,MarketValue,0.0107
