Valuation Date,Symbology,Ticker,Field Name,Value
,,,,
2015-07-21,OG-Ticker,USD-ON,MarketValue,0.0005
2015-07-21,OG-Ticker,USD-TN,MarketValue,0.0005
2015-07-21,OG-Ticker,USD-OIS-1M,MarketValue,0.00072
2015-07-21,OG-Ticker,USD-OIS-2M,MarketValue,0.00082
2015-07-21,OG-Ticker,USD-OIS-3M,MarketValue,0.00093
2015-07-21,OG-Ticker,USD-OIS-6M,MarketValue,0.0009
2015-07-21,OG-Ticker,USD-OIS-9M,MarketValue,0.00105
2015-07-21,OG-Ticker,USD-OIS-1Y,MarketValue,0.001185
2015-07-21,OG-Ticker,USD-OIS-2Y,MarketValue,0.0031865
2015-07-21,OG-Ticker,USD-OIS-3Y,MarketValue,0.00704
2015-07-21,OG-Ticker,USD-OIS-4Y,MarketValue,0.011215
2015-07-21,OG-Ticker,USD-OIS-5Y,MarketValue,0.01515
2015-07-21,OG-Ticker,USD-OIS-6Y,MarketValue,0.018455
2015-07-21,OG-Ticker,USD-OIS-7Y,MarketValue,0.02111
2015-07-21,OG-Ticker,USD-OIS-8Y,MarketValue,0.02332
2015-07-21,OG-Ticker,USD-OIS-9Y,MarketValue,0.025135
2015-07-21,OG-Ticker,USD-OIS-10Y,MarketValue,0.026685
,,,,
2015-07-21,OG-Ticker,USD-Fixing-3M,MarketValue,0.002366
2015-07-21,OG-Ticker,USD-FRA-3Mx6M,MarketValue,0.0025825
2015-07-21,OG-Ticker,USD-FRA-6Mx9M,MarketValue,0.0029605
2015-07-21,OG-Ticker,USD-IRS3M-1Y,MarketValue,0.002943
2015-07-21,OG-Ticker,USD-IRS3M-2Y,MarketValue,0.00503
2015-07-21,OG-Ticker,USD-IRS3M-3Y,MarketValue,0.0093915
2015-07-21,OG-Ticker,USD-IRS3M-4Y,MarketValue,0.013808
2015-07-21,OG-Ticker,USD-IRS3M-5Y,MarketValue,0.01732
2015-07-21,OG-Ticker,USD-IRS3M-6Y,MarketValue,0.02
2015-07-21,OG-Ticker,USD-IRS3M-7Y,MarketValue,0.023962
2015-07-21,OG-Ticker,USD-IRS3M-8Y,MarketValue,0.025
2015-07-21,OG-Ticker,USD-IRS3M-9Y,MarketValue,0.027
2015-07-21,OG-Ticker,USD-IRS3M-10Y,MarketValue,0.0293
2015-07-21,OG-Ticker,USD-IRS3M-12Y,MarketValue,0.03195
2015-07-21,OG-Ticker,USD-IRS3M-15Y,MarketValue,0.034235
2015-07-21,OG-Ticker,USD-IRS3M-20Y,MarketValue,0.036155
2015-07-21,OG-Ticker,USD-IRS3M-25Y,MarketValue,0.0369685
2015-07-21,OG-Ticker,USD-IRS3M-30Y,MarketValue,0.037345
,,,,
2015-07-21,OG-Ticker,USD-ED-Q1,MarketValue,0.9975
2015-07-21,OG-Ticker,USD-ED-Q2,MarketValue,0.9975
2015-07-21,OG-Ticker,USD-ED-Q3,MarketValue,0.995
2015-07-21,OG-Ticker,USD-ED-Q4,MarketValue,0.995
2015-07-21,OG-Ticker,USD-ED-Q5,MarketValue,0.994
2015-07-21,OG-Ticker,USD-ED-Q6,MarketValue,0.993
2015-07-21,OG-Ticker,USD-ED-Q7,MarketValue,0.992
2015-07-21,OG-Ticker,USD-ED-Q8,MarketValue,0.991
,,,,
2015-07-21,OG-Future,Ibor-USD-LIBOR-3M-Sep15,LastClosingPrice,0.9999
2015-07-21,OG-Future,Ibor-USD-LIBOR-3M-Dec15,LastClosingPrice,0.9999
2015-07-21,OG-Future,Ibor-USD-LIBOR-3M-Mar16,LastClosingPrice,0.9999
2015-07-21,OG-Future,Ibor-USD-LIBOR-3M-Jun16,LastClosingPrice,0.9999
2015-07-21,OG-Future,Ibor-USD-LIBOR-3M-Sep16,LastClosingPrice,0.9999
2015-07-21,OG-Future,Ibor-USD-LIBOR-3M-Dec16,LastClosingPrice,0.9999
2015-07-21,OG-Future,Ibor-USD-LIBOR-3M-Mar17,LastClosingPrice,0.9999
2015-07-21,OG-Future,Ibor-USD-LIBOR-3M-Jun17,LastClosingPrice,0.9999
