Valuation Date,Symbology,Ticker,Field Name,Value
,,,,
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-1M,MarketValue,0.0104
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-2M,MarketValue,0.012
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-3M,MarketValue,0.0139
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-6M,MarketValue,0.0177
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-9M,MarketValue,0.0206
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-1Y,MarketValue,0.0229
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-2Y,MarketValue,0.0253
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-3Y,MarketValue,0.02535
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-4Y,MarketValue,0.025
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-5Y,MarketValue,0.0249
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-6Y,MarketValue,0.0249
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-7Y,MarketValue,0.025
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-8Y,MarketValue,0.025
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-9Y,MarketValue,0.0251
2022-05-30,OG-Ticker,USD-FIXED-1Y-SOFR-OIS-10Y,MarketValue,0.0253
,,,,
2022-05-30,OG-Ticker,EUR/USD-1M,MarketValue,0.0015
2022-05-30,OG-Ticker,EUR/USD-2M,MarketValue,0.0034
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-3M,MarketValue,-0.0015
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-6M,MarketValue,-0.0018
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-9M,MarketValue,-0.0026
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-1Y,MarketValue,-0.0026
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-2Y,MarketValue,-0.0026
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-3Y,MarketValue,-0.0025
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-4Y,MarketValue,-0.0024
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-5Y,MarketValue,-0.0024
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-7Y,MarketValue,-0.0022
2022-05-30,OG-Ticker,EUR-ESTR-3M-USD-SOFR-3M-10Y,MarketValue,-0.0021
,,,,
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-1M,MarketValue,-0.0049
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-2M,MarketValue,-0.0046
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-3M,MarketValue,-0.0036
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-6M,MarketValue,-0.001
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-9M,MarketValue,0.0013
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-1Y,MarketValue,0.0034
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-2Y,MarketValue,0.0086
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-3Y,MarketValue,0.0104
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-4Y,MarketValue,0.0116
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-5Y,MarketValue,0.0125
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-7Y,MarketValue,0.0137
2022-05-30,OG-Ticker,EUR-FIXED-1Y-ESTR-OIS-10Y,MarketValue,0.0156
