Valuation Date,Curve Name,Date,Value,Label
2015-04-23,USD-Disc,2015-04-24,0.020277215,1D
2015-04-23,USD-Disc,2015-05-29,0.022176598,1M
2015-04-23,USD-Disc,2015-10-29,0.024131521,6M
2015-04-23,USD-Disc,2016-04-29,0.026001277,1Y
2015-04-23,USD-Disc,2017-05-01,0.028040416,2Y
2015-04-23,USD-Disc,2020-04-29,0.030056417,5Y
2015-04-23,USD-Disc,2025-04-30,0.032191282,10Y
2015-04-23,USD-3ML,2015-07-27,0.023251918,3M
2015-04-23,USD-3ML,2016-04-27,0.025274956,1Y
2015-04-23,USD-3ML,2017-04-27,0.027823909,2Y
2015-04-23,USD-3ML,2020-04-27,0.030360916,5Y
2015-04-23,USD-3ML,2025-04-28,0.033035876,10Y
2015-04-23,USD-6ML,2015-10-27,0.024186096,6M
2015-04-23,USD-6ML,2016-04-27,0.027786201,1Y
2015-04-23,USD-6ML,2017-04-27,0.03033329,2Y
2015-04-23,USD-6ML,2020-04-27,0.032867541,5Y
2015-04-23,USD-6ML,2025-04-28,0.035535903,10Y
