Valuation Date,Tenor,Instrument Type,Rate,Curve Convention
,,,,
2014-01-22,1M,M,0.001535,ISDA_USD
2014-01-22,2M,M,0.001954,ISDA_USD
2014-01-22,3M,M,0.002281,ISDA_USD
2014-01-22,6M,M,0.003217,ISDA_USD
2014-01-22,1Y,M,0.005444,ISDA_USD
2014-01-22,2Y,S,0.005905,ISDA_USD
2014-01-22,3Y,S,0.009555,ISDA_USD
2014-01-22,4Y,S,0.012775,ISDA_USD
2014-01-22,5Y,S,0.015395,ISDA_USD
2014-01-22,6Y,S,0.017445,ISDA_USD
2014-01-22,7Y,S,0.019205,ISDA_USD
2014-01-22,8Y,S,0.020660,ISDA_USD
2014-01-22,9Y,S,0.021885,ISDA_USD
2014-01-22,10Y,S,0.022940,ISDA_USD
2014-01-22,12Y,S,0.024615,ISDA_USD
2014-01-22,15Y,S,0.026300,ISDA_USD
2014-01-22,20Y,S,0.027950,ISDA_USD
2014-01-22,25Y,S,0.028715,ISDA_USD
2014-01-22,30Y,S,0.029160,ISDA_USD
