Date,Currency,Description,Record,Bid,Ask
27/05/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,4.972,5.002
28/05/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,4.98,5.01
29/05/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.038,5.068
30/05/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.038,5.068
02/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.04,5.07
03/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.088,5.118
04/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.072,5.102
05/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.369,5.399
06/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.37,5.4
09/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.452,5.482
10/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.377,5.407
11/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.353,5.383
12/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.315,5.345
13/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.351,5.381
16/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.407,5.437
17/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.342,5.372
18/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.339,5.369
19/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.363,5.393
20/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.34,5.37
23/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.33,5.36
24/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.313,5.343
25/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.315,5.345
26/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.247,5.277
27/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.248,5.278
30/06/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.314,5.344
01/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.296,5.326
02/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.326,5.356
03/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.198,5.228
04/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.215,5.245
07/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.193,5.223
08/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.197,5.227
09/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.193,5.223
10/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.193,5.223
11/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.169,5.199
14/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.152,5.182
15/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.12,5.15
16/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.114,5.144
17/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.135,5.165
18/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.228,5.258
21/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.282,5.312
22/07/2008,EUR,IRS EUR A 30/360 v 3M EURIBOR 01Y,EUR3M_1Y,5.264,5.294
