Date,Currency,Description,Record,Bid,Ask
08/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.09,3.11
11/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.1,3.12
12/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.09,3.11
13/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.09,3.11
14/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.07,3.09
18/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.96,2.98
19/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.96,2.98
20/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.98,3
21/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.96,2.98
22/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.97,2.99
25/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.98,3
26/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.99,3.01
27/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.99,3.01
28/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.99,3.01
29/01/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.99,3.01
01/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.03,3.05
02/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.03,3.05
03/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.04,3.06
04/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.06,3.08
05/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.05,3.07
08/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.06,3.08
09/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.06,3.08
10/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.05,3.07
11/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.05,3.07
12/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.04,3.06
15/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.03,3.05
16/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.02,3.04
17/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.02,3.04
18/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.02,3.04
19/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.02,3.04
22/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.02,3.04
23/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.02,3.04
24/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.03,3.05
25/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.04,3.06
26/02/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.05,3.07
01/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.08,3.1
02/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.08,3.1
03/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.06,3.08
04/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.07,3.09
05/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.03,3.05
08/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.03,3.05
09/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.03,3.05
10/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.01,3.03
11/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.97,2.99
12/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.97,2.99
16/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.98,3
17/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.97,2.99
18/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.95,2.97
19/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.95,2.97
22/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.95,2.97
23/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.94,2.96
24/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.91,2.93
25/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.89,2.91
26/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.91,2.93
29/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.9,2.92
30/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.86,2.88
31/03/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.83,2.85
01/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.82,2.84
02/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.25,2.27
05/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.22,2.24
06/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.82,2.84
07/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.83,2.85
08/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.58,2.6
09/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.58,2.61
12/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.58,2.6
13/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.56,2.58
14/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.56,2.58
15/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.56,2.58
16/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.56,2.58
19/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.55,2.57
20/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.54,2.56
21/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
22/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
23/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.54,2.56
26/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.54,2.56
27/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
28/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.54,2.56
29/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.54,2.56
30/04/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.54,2.56
04/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.54,2.56
05/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
06/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
07/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
10/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
11/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
12/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.52,2.54
13/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.51,2.53
14/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.52,2.54
17/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.52,2.54
18/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
19/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.54,2.56
20/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.54,2.56
21/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
24/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
25/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
26/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.52,2.54
27/05/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.53,2.55
13/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.615,2.635
14/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.615,2.635
15/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.635,2.655
16/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.655,2.675
19/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
20/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
21/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.63,2.65
22/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.64,2.66
23/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.64,2.66
26/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.64,2.66
27/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.645,2.665
28/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.645,2.665
29/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
30/07/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.665,2.685
02/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
03/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.665,2.685
04/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
05/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
06/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.665,2.685
09/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.675,2.695
10/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
11/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.665,2.685
12/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.65,2.67
13/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.645,2.665
16/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.645,2.665
17/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.64,2.66
18/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.625,2.645
19/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.635,2.655
20/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.635,2.655
23/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.64,2.66
24/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.64,2.66
26/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.655,2.675
27/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
31/08/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.665,2.685
01/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.655,2.675
02/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.65,2.67
03/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.635,2.655
06/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.635,2.655
07/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.635,2.655
08/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.65,2.67
09/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.64,2.66
10/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.64,2.66
13/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
14/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
15/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.665,2.685
16/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
17/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.64,2.66
21/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
22/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.665,2.685
23/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
24/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.655,2.675
27/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.66,2.68
28/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.69,2.71
29/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.75,2.77
30/09/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.775,2.795
01/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.925,2.955
04/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3,3.02
05/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.005,3.025
06/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.015,3.035
07/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.925,2.945
08/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.945,2.965
11/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,2.965,2.985
12/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.045,3.065
13/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.04,3.06
14/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.105,3.125
15/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.075,3.095
18/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.055,3.075
19/10/1999,EUR,OIS EUR EONIA 3M ,EUROIS_3M,3.09,3.11
