Date,Currency,Description,Record,Bid,Ask
26/08/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.18,5.2
27/08/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.155,5.175
30/08/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.145,5.165
31/08/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.115,5.135
01/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.085,5.105
02/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.1,5.12
03/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.135,5.155
06/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.115,5.135
07/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.135,5.155
08/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.13,5.15
09/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.105,5.125
10/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.085,5.105
13/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.1,5.12
14/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.09,5.11
15/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.105,5.125
16/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.145,5.165
17/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.125,5.145
20/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.125,5.145
21/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.105,5.125
22/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.075,5.095
23/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.085,5.105
24/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.1,5.12
27/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.075,5.095
28/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.075,5.095
29/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.045,5.065
30/09/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.02,5.04
01/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.03,5.05
04/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.045,5.065
05/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.03,5.05
06/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.02,5.04
07/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.02,5.04
08/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.995,5.015
11/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.995,5.015
12/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.96,4.98
13/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.97,4.99
14/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.965,4.985
15/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.97,4.99
18/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.95,4.97
19/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.96,4.98
20/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.92,4.94
21/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.935,4.955
22/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.915,4.935
25/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.9,4.92
26/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.905,4.925
27/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.93,4.95
28/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.955,4.975
29/10/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.94,4.96
01/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.935,4.955
02/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.985,5.005
03/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.99,5.01
04/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.975,4.995
05/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.005,5.025
08/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.015,5.035
09/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,5.015,5.035
10/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.96,4.98
11/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.92,4.94
12/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.905,4.925
15/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.885,4.905
16/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.9,4.92
17/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.9,4.92
18/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.93,4.95
19/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.93,4.95
22/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.91,4.93
23/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.885,4.905
24/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.87,4.89
25/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.83,4.85
26/11/2004,GBP,IRS GBP SA A/365 v 6M LIBOR 01Y,GBPCD_1YSS,4.81,4.83
