Date,Currency,Description,Record,Bid,Ask,Mid
30/06/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.98,5.01,
01/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.96,4.99,
02/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.94,4.97,
05/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.93,4.96,
06/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.93,4.96,
07/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.91,4.94,
09/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.92,4.95,
12/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.94,4.97,
13/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.93,4.96,
14/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.9,4.93,
15/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.95,4.98,
16/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.95,4.98,
19/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.98,5.01,
20/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.01,5.04,
21/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.05,5.08,
22/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.05,5.08,
23/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.07,5.1,
26/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.08,5.11,
27/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.08,5.11,
28/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.08,5.11,
29/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.09,5.12,
30/07/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.1,5.13,
02/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.12,5.15,
03/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.13,5.16,
04/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.14,5.17,
05/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.14,5.17,
06/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.14,5.17,
09/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.15,5.18,
10/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.1,5.13,
11/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.06,5.09,
12/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.03,5.06,
13/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.01,5.04,
16/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.02,5.05,
17/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5,5.03,
18/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.98,5.01,
19/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.97,5,
20/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.99,5.02,
23/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.03,5.06,
24/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.05,5.08,
26/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5,5.03,
27/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.99,5.02,
31/08/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,4.99,5.02,
01/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.18,5.21,
02/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5,5.03,
03/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5,5.03,
06/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.01,5.04,
07/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.03,5.06,
08/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.28,5.31,
09/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.26,5.29,
10/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.35,5.38,
13/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.3,5.33,
14/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.28,5.31,
15/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.27,5.3,
16/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.26,5.29,
17/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.3,5.33,
21/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.29,5.32,
22/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.29,5.32,
23/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.32,5.35,
24/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.34,5.37,
27/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.32,5.35,
28/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.45,5.48,
29/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.37,5.4,
30/09/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.39,5.42,
01/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.52,5.55,
04/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.48,5.51,
05/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.53,5.56,
06/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.53,5.56,
07/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.49,5.52,
08/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.72,5.75,
11/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.34,5.37,
12/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.37,5.4,
13/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.33,5.36,
14/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.33,5.36,
15/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.35,5.38,
18/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.35,5.38,
19/10/1999,GBP,OIS GBP SONIA 3M ,GBPOIS_3M,5.37,5.4,
