Date,Currency,Description,Record,Bid,Ask
25/07/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.5075,0.5175
28/07/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.5075,0.5175
29/07/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.5075,0.5175
30/07/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.5075,0.5175
31/07/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.505,0.515
01/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.505,0.515
04/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.505,0.515
05/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.505,0.515
06/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.505,0.515
07/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.505,0.515
08/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.5,0.51
11/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.5,0.51
12/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.5025,0.5125
13/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
14/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
15/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4925,0.5025
18/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4925,0.5025
19/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4925,0.5025
20/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.495,0.505
21/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.495,0.505
22/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
25/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
26/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.495,0.505
27/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
28/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
29/08/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
01/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
02/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
03/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
04/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
05/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
08/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
09/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
10/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
11/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
12/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
15/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4975,0.5075
16/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4725,0.4825
17/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.485,0.495
18/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4825,0.5025
19/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.49,0.51
22/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.49,0.51
23/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.49,0.51
24/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.48,0.5
25/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.485,0.505
26/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.485,0.505
29/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.485,0.505
30/09/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4675,0.4875
01/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4725,0.4925
02/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.455,0.475
03/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4425,0.4625
06/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.44,0.46
07/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.47,0.49
08/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.44,0.46
09/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.455,0.475
10/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.435,0.455
13/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.435,0.455
14/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4575,0.4775
15/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.47,0.49
16/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.46,0.48
17/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.455,0.475
20/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.455,0.475
21/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4575,0.4775
22/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4475,0.4675
23/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.4525,0.4725
24/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.45,0.47
27/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.415,0.435
28/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.425,0.445
29/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.3025,0.3425
30/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2975,0.3375
31/10/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2725,0.3125
03/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.27,0.31
04/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2675,0.3075
05/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2675,0.3075
06/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.265,0.305
07/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.265,0.305
10/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2625,0.3025
11/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.265,0.305
12/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.265,0.305
13/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.26,0.3
14/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.25,0.29
17/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.245,0.285
18/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2425,0.2825
19/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.245,0.285
20/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2375,0.2775
21/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.25,0.29
24/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.25,0.29
25/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2675,0.3075
26/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.27,0.31
27/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2775,0.3175
28/11/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.27,0.31
01/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2675,0.3075
02/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2625,0.3025
03/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2625,0.3025
04/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.26,0.3
05/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.245,0.285
08/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.25,0.29
09/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.25,0.29
10/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2425,0.2825
11/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2425,0.2825
12/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.21,0.25
15/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.2025,0.2425
16/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.17,0.21
17/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.12125,0.16125
18/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.12,0.16
19/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.08,0.12
22/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.09,0.13
23/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.09,0.13
24/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.085,0.125
25/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.085,0.125
26/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.085,0.125
29/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.085,0.125
30/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.085,0.125
31/12/2008,JPY,OIS JPY TONAR 3M ,JPYOIS_3M,0.085,0.125
