Date,Currency,Description,Record,Bid,Ask
23/05/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.373,5.383
24/05/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.359,5.369
25/05/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.369,5.379
28/05/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.374,5.384
29/05/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.382,5.392
30/05/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.378,5.388
31/05/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.378,5.388
01/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.414,5.424
04/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.431,5.441
05/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.444,5.454
06/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.448,5.458
07/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.44,5.45
08/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.47,5.48
11/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.453,5.463
12/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.462,5.472
13/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.5,5.51
14/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.494,5.504
15/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.501,5.511
18/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.465,5.475
19/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.456,5.466
20/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.422,5.432
21/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.449,5.459
22/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.436,5.446
25/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.394,5.404
26/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.373,5.383
27/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.369,5.379
28/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.402,5.412
29/06/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.418,5.428
02/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.379,5.389
03/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.388,5.398
04/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.401,5.411
05/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.413,5.423
06/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.437,5.447
09/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.452,5.462
10/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.435,5.445
11/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.393,5.403
12/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.405,5.415
13/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.427,5.437
16/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.415,5.425
17/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.409,5.419
18/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.403,5.413
19/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.403,5.413
20/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.387,5.397
23/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.356,5.366
24/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.371,5.381
25/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.353,5.363
26/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.339,5.349
27/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.256,5.266
30/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.219,5.229
31/07/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.239,5.249
01/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.155,5.165
02/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.205,5.215
03/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.196,5.206
06/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.091,5.101
07/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.141,5.151
08/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.208,5.218
09/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.208,5.218
10/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.1,5.11
13/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.118,5.128
14/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.131,5.141
15/08/2007,USD,IRS USD A A/360 v USD 3M LIBOR 01Y,USDIRSLIB1YQ,5.081,5.091
