Date,Currency,Description,Record,Bid,Ask
24/10/2001,USD,OIS USD  3M,USDOIS_3M,2.145,2.175
25/10/2001,USD,OIS USD  3M,USDOIS_3M,2.105,2.135
26/10/2001,USD,OIS USD  3M,USDOIS_3M,2.105,2.135
29/10/2001,USD,OIS USD  3M,USDOIS_3M,2.065,2.095
30/10/2001,USD,OIS USD  3M,USDOIS_3M,2.045,2.075
31/10/2001,USD,OIS USD  3M,USDOIS_3M,2.045,2.075
01/11/2001,USD,OIS USD  3M,USDOIS_3M,2.035,2.065
05/11/2001,USD,OIS USD  3M,USDOIS_3M,1.975,2.005
06/11/2001,USD,OIS USD  3M,USDOIS_3M,1.985,2.015
07/11/2001,USD,OIS USD  3M,USDOIS_3M,1.845,1.875
08/11/2001,USD,OIS USD  3M,USDOIS_3M,1.845,1.875
09/11/2001,USD,OIS USD  3M,USDOIS_3M,1.855,1.885
12/11/2001,USD,OIS USD  3M,USDOIS_3M,1.855,1.885
13/11/2001,USD,OIS USD  3M,USDOIS_3M,1.855,1.885
15/11/2001,USD,OIS USD  3M,USDOIS_3M,1.925,1.955
16/11/2001,USD,OIS USD  3M,USDOIS_3M,1.945,1.975
19/11/2001,USD,OIS USD  3M,USDOIS_3M,1.925,1.955
20/11/2001,USD,OIS USD  3M,USDOIS_3M,1.885,1.935
21/11/2001,USD,OIS USD  3M,USDOIS_3M,1.925,1.955
22/11/2001,USD,OIS USD  3M,USDOIS_3M,1.955,1.985
23/11/2001,USD,OIS USD  3M,USDOIS_3M,1.945,1.975
26/11/2001,USD,OIS USD  3M,USDOIS_3M,1.905,1.935
27/11/2001,USD,OIS USD  3M,USDOIS_3M,1.905,1.935
28/11/2001,USD,OIS USD  3M,USDOIS_3M,1.805,1.835
29/11/2001,USD,OIS USD  3M,USDOIS_3M,1.795,1.825
30/11/2001,USD,OIS USD  3M,USDOIS_3M,1.755,1.785
03/12/2001,USD,OIS USD  3M,USDOIS_3M,1.755,1.785
