Name,Currency,Active,Day Count,Fixing Calendar,Offset Days,Offset Calendar,Effective Date Calendar,Tenor,Tenor Convention,FixingTime,FixingZone,Fixed Leg Day Count
,,,,,,,,,,,,
GBP-LIBOR-1W,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,1W,Following,11:55,Europe/London,Act/365F
GBP-LIBOR-2W,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,2W,Following,11:55,Europe/London,Act/365F
GBP-LIBOR-1M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,1M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-2M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,2M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-3M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,3M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-4M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,4M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-5M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,5M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-6M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,6M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-7M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,7M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-8M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,8M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-9M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,9M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-10M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,10M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-11M,GBP,FALSE,Act/365F,GBLO,0,GBLO,GBLO,11M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-LIBOR-12M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,12M,LastBusinessDay,11:55,Europe/London,Act/365F
,,,,,,,,,,,,
GBP-SONIAICETERM-1M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,1M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-SONIAICETERM-3M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,3M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-SONIAICETERM-6M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,6M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-SONIAICETERM-12M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,12M,LastBusinessDay,11:55,Europe/London,Act/365F
,,,,,,,,,,,,
GBP-SONIAREFINITIVTERM-1M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,1M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-SONIAREFINITIVTERM-3M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,3M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-SONIAREFINITIVTERM-6M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,6M,LastBusinessDay,11:55,Europe/London,Act/365F
GBP-SONIAREFINITIVTERM-12M,GBP,TRUE,Act/365F,GBLO,0,GBLO,GBLO,12M,LastBusinessDay,11:55,Europe/London,Act/365F
,,,,,,,,,,,,
CHF-LIBOR-1W,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,1W,Following,11:55,Europe/London,30U/360
CHF-LIBOR-2W,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,2W,Following,11:55,Europe/London,30U/360
CHF-LIBOR-1M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,1M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-2M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,2M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-3M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,3M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-4M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,4M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-5M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,5M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-6M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,6M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-7M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,7M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-8M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,8M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-9M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,9M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-10M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,10M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-11M,CHF,FALSE,Act/360,GBLO,2,GBLO,GBLO+CHZU,11M,LastBusinessDay,11:55,Europe/London,30U/360
CHF-LIBOR-12M,CHF,TRUE,Act/360,GBLO,2,GBLO,GBLO+CHZU,12M,LastBusinessDay,11:55,Europe/London,30U/360
,,,,,,,,,,,,
EUR-LIBOR-1W,EUR,TRUE,Act/360,GBLO,2,EUTA,EUTA,1W,Following,11:55,Europe/London,30U/360
EUR-LIBOR-2W,EUR,FALSE,Act/360,GBLO,2,EUTA,EUTA,2W,Following,11:55,Europe/London,30U/360
EUR-LIBOR-1M,EUR,TRUE,Act/360,GBLO,2,EUTA,EUTA,1M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-2M,EUR,TRUE,Act/360,GBLO,2,EUTA,EUTA,2M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-3M,EUR,TRUE,Act/360,GBLO,2,EUTA,EUTA,3M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-4M,EUR,FALSE,Act/360,GBLO,2,EUTA,EUTA,4M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-5M,EUR,FALSE,Act/360,GBLO,2,EUTA,EUTA,5M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-6M,EUR,TRUE,Act/360,GBLO,2,EUTA,EUTA,6M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-7M,EUR,FALSE,Act/360,GBLO,2,EUTA,EUTA,7M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-8M,EUR,FALSE,Act/360,GBLO,2,EUTA,EUTA,8M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-9M,EUR,FALSE,Act/360,GBLO,2,EUTA,EUTA,9M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-10M,EUR,FALSE,Act/360,GBLO,2,EUTA,EUTA,10M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-11M,EUR,FALSE,Act/360,GBLO,2,EUTA,EUTA,11M,LastBusinessDay,11:55,Europe/London,30U/360
EUR-LIBOR-12M,EUR,TRUE,Act/360,GBLO,2,EUTA,EUTA,12M,LastBusinessDay,11:55,Europe/London,30U/360
,,,,,,,,,,,,
JPY-LIBOR-1W,JPY,TRUE,Act/360,GBLO,2,GBLO,GBLO+JPTO,1W,Following,11:55,Europe/London,Act/365F
JPY-LIBOR-2W,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,2W,Following,11:55,Europe/London,Act/365F
JPY-LIBOR-1M,JPY,TRUE,Act/360,GBLO,2,GBLO,GBLO+JPTO,1M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-2M,JPY,TRUE,Act/360,GBLO,2,GBLO,GBLO+JPTO,2M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-3M,JPY,TRUE,Act/360,GBLO,2,GBLO,GBLO+JPTO,3M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-4M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,4M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-5M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,5M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-6M,JPY,TRUE,Act/360,GBLO,2,GBLO,GBLO+JPTO,6M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-7M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,7M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-8M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,8M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-9M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,9M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-10M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,10M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-11M,JPY,FALSE,Act/360,GBLO,2,GBLO,GBLO+JPTO,11M,LastBusinessDay,11:55,Europe/London,Act/365F
JPY-LIBOR-12M,JPY,TRUE,Act/360,GBLO,2,GBLO,GBLO+JPTO,12M,LastBusinessDay,11:55,Europe/London,Act/365F
,,,,,,,,,,,,
JPY-TORF-1M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,1M,LastBusinessDay,15:00,Asia/Tokyo,Act/365F
JPY-TORF-3M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,3M,LastBusinessDay,15:00,Asia/Tokyo,Act/365F
JPY-TORF-6M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,6M,LastBusinessDay,15:00,Asia/Tokyo,Act/365F
,,,,,,,,,,,,
USD-LIBOR-1W,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,1W,Following,11:55,Europe/London,Act/360
USD-LIBOR-2W,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,2W,Following,11:55,Europe/London,Act/360
USD-LIBOR-1M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,1M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-2M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,2M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-3M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,3M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-4M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,4M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-5M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,5M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-6M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,6M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-7M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,7M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-8M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,8M,LastBusinessDay,11:55,Europe/London,Act/360
