Name,Active,Convention,Tenor,FixingTime,FixingZone
,,,,,
GBP-SONIA-1100-1Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,1Y,11:00,Europe/London
GBP-SONIA-1100-2Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,2Y,11:00,Europe/London
GBP-SONIA-1100-3Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,3Y,11:00,Europe/London
GBP-SONIA-1100-4Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,4Y,11:00,Europe/London
GBP-SONIA-1100-5Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,5Y,11:00,Europe/London
GBP-SONIA-1100-6Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,6Y,11:00,Europe/London
GBP-SONIA-1100-7Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,7Y,11:00,Europe/London
GBP-SONIA-1100-8Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,8Y,11:00,Europe/London
GBP-SONIA-1100-9Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,9Y,11:00,Europe/London
GBP-SONIA-1100-10Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,10Y,11:00,Europe/London
GBP-SONIA-1100-12Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,12Y,11:00,Europe/London
GBP-SONIA-1100-15Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,15Y,11:00,Europe/London
GBP-SONIA-1100-20Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,20Y,11:00,Europe/London
GBP-SONIA-1100-25Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,25Y,11:00,Europe/London
GBP-SONIA-1100-30Y,TRUE,GBP-FIXED-1Y-SONIA-OIS,30Y,11:00,Europe/London
,,,,,
USD-SOFR-1100-1Y,TRUE,USD-FIXED-1Y-SOFR-OIS,1Y,11:00,America/New_York
USD-SOFR-1100-2Y,TRUE,USD-FIXED-1Y-SOFR-OIS,2Y,11:00,America/New_York
USD-SOFR-1100-3Y,TRUE,USD-FIXED-1Y-SOFR-OIS,3Y,11:00,America/New_York
USD-SOFR-1100-4Y,TRUE,USD-FIXED-1Y-SOFR-OIS,4Y,11:00,America/New_York
USD-SOFR-1100-5Y,TRUE,USD-FIXED-1Y-SOFR-OIS,5Y,11:00,America/New_York
USD-SOFR-1100-6Y,TRUE,USD-FIXED-1Y-SOFR-OIS,6Y,11:00,America/New_York
USD-SOFR-1100-7Y,TRUE,USD-FIXED-1Y-SOFR-OIS,7Y,11:00,America/New_York
USD-SOFR-1100-8Y,TRUE,USD-FIXED-1Y-SOFR-OIS,8Y,11:00,America/New_York
USD-SOFR-1100-9Y,TRUE,USD-FIXED-1Y-SOFR-OIS,9Y,11:00,America/New_York
USD-SOFR-1100-10Y,TRUE,USD-FIXED-1Y-SOFR-OIS,10Y,11:00,America/New_York
