Name,Active,Convention,Tenor,FixingTime,FixingZone
,,,,
USD-LIBOR-1100-1Y,true,USD-FIXED-6M-LIBOR-3M,1Y,11:00,America/New_York
USD-LIBOR-1100-2Y,true,USD-FIXED-6M-LIBOR-3M,2Y,11:00,America/New_York
USD-LIBOR-1100-3Y,true,USD-FIXED-6M-LIBOR-3M,3Y,11:00,America/New_York
USD-LIBOR-1100-4Y,true,USD-FIXED-6M-LIBOR-3M,4Y,11:00,America/New_York
USD-LIBOR-1100-5Y,true,USD-FIXED-6M-LIBOR-3M,5Y,11:00,America/New_York
USD-LIBOR-1100-6Y,true,USD-FIXED-6M-LIBOR-3M,6Y,11:00,America/New_York
USD-LIBOR-1100-7Y,true,USD-FIXED-6M-LIBOR-3M,7Y,11:00,America/New_York
USD-LIBOR-1100-8Y,true,USD-FIXED-6M-LIBOR-3M,8Y,11:00,America/New_York
USD-LIBOR-1100-9Y,true,USD-FIXED-6M-LIBOR-3M,9Y,11:00,America/New_York
USD-LIBOR-1100-10Y,true,USD-FIXED-6M-LIBOR-3M,10Y,11:00,America/New_York
USD-LIBOR-1100-15Y,true,USD-FIXED-6M-LIBOR-3M,15Y,11:00,America/New_York
USD-LIBOR-1100-20Y,true,USD-FIXED-6M-LIBOR-3M,20Y,11:00,America/New_York
USD-LIBOR-1100-30Y,true,USD-FIXED-6M-LIBOR-3M,30Y,11:00,America/New_York
USD-LIBOR-1500-1Y,true,USD-FIXED-6M-LIBOR-3M,1Y,15:00,America/New_York
,,,,
EUR-EURIBOR-1100-1Y,true,EUR-FIXED-1Y-EURIBOR-3M,1Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-2Y,true,EUR-FIXED-1Y-EURIBOR-6M,2Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-3Y,true,EUR-FIXED-1Y-EURIBOR-6M,3Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-4Y,true,EUR-FIXED-1Y-EURIBOR-6M,4Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-5Y,true,EUR-FIXED-1Y-EURIBOR-6M,5Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-6Y,true,EUR-FIXED-1Y-EURIBOR-6M,6Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-7Y,true,EUR-FIXED-1Y-EURIBOR-6M,7Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-8Y,true,EUR-FIXED-1Y-EURIBOR-6M,8Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-9Y,true,EUR-FIXED-1Y-EURIBOR-6M,9Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-10Y,true,EUR-FIXED-1Y-EURIBOR-6M,10Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-12Y,true,EUR-FIXED-1Y-EURIBOR-6M,12Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-15Y,true,EUR-FIXED-1Y-EURIBOR-6M,15Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-20Y,true,EUR-FIXED-1Y-EURIBOR-6M,20Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-25Y,true,EUR-FIXED-1Y-EURIBOR-6M,25Y,11:00,Europe/Berlin
EUR-EURIBOR-1100-30Y,true,EUR-FIXED-1Y-EURIBOR-6M,30Y,11:00,Europe/Berlin
,,,,
EUR-EURIBOR-1200-1Y,true,EUR-FIXED-1Y-EURIBOR-3M,1Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-2Y,true,EUR-FIXED-1Y-EURIBOR-6M,2Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-3Y,true,EUR-FIXED-1Y-EURIBOR-6M,3Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-4Y,true,EUR-FIXED-1Y-EURIBOR-6M,4Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-5Y,true,EUR-FIXED-1Y-EURIBOR-6M,5Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-6Y,true,EUR-FIXED-1Y-EURIBOR-6M,6Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-7Y,true,EUR-FIXED-1Y-EURIBOR-6M,7Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-8Y,true,EUR-FIXED-1Y-EURIBOR-6M,8Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-9Y,true,EUR-FIXED-1Y-EURIBOR-6M,9Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-10Y,true,EUR-FIXED-1Y-EURIBOR-6M,10Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-12Y,true,EUR-FIXED-1Y-EURIBOR-6M,12Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-15Y,true,EUR-FIXED-1Y-EURIBOR-6M,15Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-20Y,true,EUR-FIXED-1Y-EURIBOR-6M,20Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-25Y,true,EUR-FIXED-1Y-EURIBOR-6M,25Y,12:00,Europe/Berlin
EUR-EURIBOR-1200-30Y,true,EUR-FIXED-1Y-EURIBOR-6M,30Y,12:00,Europe/Berlin
,,,,
GBP-LIBOR-1100-1Y,true,GBP-FIXED-1Y-LIBOR-3M,1Y,11:00,Europe/London
GBP-LIBOR-1100-2Y,true,GBP-FIXED-6M-LIBOR-6M,2Y,11:00,Europe/London
GBP-LIBOR-1100-3Y,true,GBP-FIXED-6M-LIBOR-6M,3Y,11:00,Europe/London
GBP-LIBOR-1100-4Y,true,GBP-FIXED-6M-LIBOR-6M,4Y,11:00,Europe/London
GBP-LIBOR-1100-5Y,true,GBP-FIXED-6M-LIBOR-6M,5Y,11:00,Europe/London
GBP-LIBOR-1100-6Y,true,GBP-FIXED-6M-LIBOR-6M,6Y,11:00,Europe/London
GBP-LIBOR-1100-7Y,true,GBP-FIXED-6M-LIBOR-6M,7Y,11:00,Europe/London
GBP-LIBOR-1100-8Y,true,GBP-FIXED-6M-LIBOR-6M,8Y,11:00,Europe/London
GBP-LIBOR-1100-9Y,true,GBP-FIXED-6M-LIBOR-6M,9Y,11:00,Europe/London
GBP-LIBOR-1100-10Y,true,GBP-FIXED-6M-LIBOR-6M,10Y,11:00,Europe/London
GBP-LIBOR-1100-12Y,true,GBP-FIXED-6M-LIBOR-6M,12Y,11:00,Europe/London
GBP-LIBOR-1100-15Y,true,GBP-FIXED-6M-LIBOR-6M,15Y,11:00,Europe/London
GBP-LIBOR-1100-20Y,true,GBP-FIXED-6M-LIBOR-6M,20Y,11:00,Europe/London
GBP-LIBOR-1100-25Y,true,GBP-FIXED-6M-LIBOR-6M,25Y,11:00,Europe/London
GBP-LIBOR-1100-30Y,true,GBP-FIXED-6M-LIBOR-6M,30Y,11:00,Europe/London
